# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "data/7/genes.gtf" "-o" "feature_counts.txt" "data/7/SRR453566_mapped.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR453566_mapped.bam
YDL248W	IV	1802	2953	+	1152	584
YDL247W-A	IV	3762	3836	+	75	10
YDL247W	IV	5985	7814	+	1830	18
YDL246C	IV	8683	9756	-	1074	15
YDL245C	IV	11657	13360	-	1704	42
YDL244W	IV	16204	17226	+	1023	16
YDL243C	IV	17577	18566	-	990	214
YDL242W	IV	18959	19312	+	354	43
YDL241W	IV	20635	21006	+	372	134
YDL240C-A	IV	22471	22608	-	138	3
YDL240W	IV	22823	25876	+	3054	544
YDL239C	IV	26403	28775	-	2373	249
YDL238C	IV	28985	30454	-	1470	147
YDL237W	IV	30657	31829	+	1173	755
YDL236W	IV	32296	33234	+	939	1316
YDL235C	IV	33415	33918	-	504	736
YDL234C	IV	34237	36477	-	2241	655
YDL233W	IV	36797	38173	+	1377	274
YDL232W	IV	38487	38597	+	111	452
YDL231C	IV	38867	42244	-	3378	1070
YDL230W	IV	42700	43707	+	1008	330
YDL229W	IV	44065	45906	+	1842	11724
YDL228C	IV	45277	45918	-	642	10
YDL227C	IV	46271	48031	-	1761	1400
YDL226C	IV	51115	52173	-	1059	1348
YDL225W	IV	52445	54100	+	1656	993
YDL224C	IV	54397	56346	-	1950	786
YDL223C	IV	57265	60405	-	3141	371
YDL222C	IV	60872	61801	-	930	93
YDL221W	IV	62011	62562	+	552	41
YDL220C	IV	62244	65018	-	2775	270
YDL219W	IV;IV	65242;65378	65306;65765	+;+	453	510
YDL218W	IV	66493	67446	+	954	76
YDL217C	IV	67983	68606	-	624	575
YDL216C	IV	68997	70319	-	1323	231
YDL215C	IV	70640	73918	-	3279	946
YDL214C	IV	74446	76545	-	2100	82
YDL213C	IV	77289	77966	-	678	1031
YDL212W	IV	78426	79058	+	633	2512
YDL211C	IV	79294	80412	-	1119	205
tG(GCC)D1	IV	83548	83618	+	71	0
YDL210W	IV	84270	85985	+	1716	72
YDL209C	IV	86207	87226	-	1020	239
YDL208W	IV	87512	87982	+	471	2441
YDL207W	IV	88248	89864	+	1617	730
YDL206W	IV	90176	92464	+	2289	366
YDL205C	IV	92762	93745	-	984	961
YDL204W	IV	94605	95786	+	1182	184
YDL203C	IV	96082	97953	-	1872	591
YDL202W	IV	98475	99224	+	750	1022
YDL201W	IV	99561	100421	+	861	510
YDL200C	IV	100501	101067	-	567	214
YDL199C	IV	101290	103353	-	2064	108
YDL198C	IV	103649	104551	-	903	2430
YDL197C	IV	104917	106494	-	1578	415
YDL196W	IV	106741	107070	+	330	14
YDL195W	IV	107208	111029	+	3822	3153
YDL194W	IV	111580	114234	+	2655	142
YDL193W	IV	114672	115799	+	1128	442
YDL192W	IV	116321	116866	+	546	6046
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	4901
